,id,name,type,variable,year,PopDensity,Area_1,Area_2
860127,0500000US29177,"Ray County, Missouri",county,density,2018,40.128,Ray County,Missouri
860130,0500000US29189,"St. Louis County, Missouri",county,density,2018,1966.6889999999999,St. Louis County,Missouri
860133,0500000US29209,"Stone County, Missouri",county,density,2018,67.941,Stone County,Missouri
860136,0500000US29009,"Barry County, Missouri",county,density,2018,45.606,Barry County,Missouri
860139,0500000US29019,"Boone County, Missouri",county,density,2018,257.531,Boone County,Missouri
860142,0500000US29039,"Cedar County, Missouri",county,density,2018,29.375,Cedar County,Missouri
860145,0500000US29055,"Crawford County, Missouri",county,density,2018,32.7,Crawford County,Missouri
860148,0500000US29093,"Iron County, Missouri",county,density,2018,18.575,Iron County,Missouri
860151,0500000US29117,"Livingston County, Missouri",county,density,2018,28.320999999999998,Livingston County,Missouri
860154,0500000US29135,"Moniteau County, Missouri",county,density,2018,38.451,Moniteau County,Missouri
860157,0500000US29149,"Oregon County, Missouri",county,density,2018,13.547,Oregon County,Missouri
860160,0500000US29069,"Dunklin County, Missouri",county,density,2018,56.236999999999995,Dunklin County,Missouri
860163,0500000US29159,"Pettis County, Missouri",county,density,2018,62.107,Pettis County,Missouri
860166,0500000US29186,"Ste. Genevieve County, Missouri",county,density,2018,35.803000000000004,Ste. Genevieve County,Missouri
860169,0500000US29175,"Randolph County, Missouri",county,density,2018,51.68,Randolph County,Missouri
860172,0500000US29071,"Franklin County, Missouri",county,density,2018,111.39399999999999,Franklin County,Missouri
860175,0500000US29089,"Howard County, Missouri",county,density,2018,21.802,Howard County,Missouri
860178,0500000US29095,"Jackson County, Missouri",county,density,2018,1144.8239999999998,Jackson County,Missouri
860181,0500000US29131,"Miller County, Missouri",county,density,2018,42.27,Miller County,Missouri
860184,0500000US29169,"Pulaski County, Missouri",county,density,2018,96.12700000000001,Pulaski County,Missouri
860187,0500000US29171,"Putnam County, Missouri",county,density,2018,9.308,Putnam County,Missouri
860190,0500000US29213,"Taney County, Missouri",county,density,2018,86.523,Taney County,Missouri
860193,0500000US29215,"Texas County, Missouri",county,density,2018,21.805999999999997,Texas County,Missouri
860196,0500000US29021,"Buchanan County, Missouri",county,density,2018,218.30900000000003,Buchanan County,Missouri
860199,0500000US29025,"Caldwell County, Missouri",county,density,2018,21.221999999999998,Caldwell County,Missouri
860202,0500000US29027,"Callaway County, Missouri",county,density,2018,53.728,Callaway County,Missouri
860205,0500000US29037,"Cass County, Missouri",county,density,2018,147.349,Cass County,Missouri
860208,0500000US29049,"Clinton County, Missouri",county,density,2018,48.872,Clinton County,Missouri
860211,0500000US29053,"Cooper County, Missouri",county,density,2018,31.201999999999998,Cooper County,Missouri
860214,0500000US29059,"Dallas County, Missouri",county,density,2018,30.51,Dallas County,Missouri
860217,0500000US29075,"Gentry County, Missouri",county,density,2018,13.562999999999999,Gentry County,Missouri
860220,0500000US29085,"Hickory County, Missouri",county,density,2018,23.473000000000003,Hickory County,Missouri
860223,0500000US29113,"Lincoln County, Missouri",county,density,2018,88.68,Lincoln County,Missouri
860226,0500000US29133,"Mississippi County, Missouri",county,density,2018,33.403,Mississippi County,Missouri
860229,0500000US29137,"Monroe County, Missouri",county,density,2018,13.362,Monroe County,Missouri
860232,0500000US29145,"Newton County, Missouri",county,density,2018,93.15799999999999,Newton County,Missouri
860235,0500000US29153,"Ozark County, Missouri",county,density,2018,12.398,Ozark County,Missouri
860238,0500000US29163,"Pike County, Missouri",county,density,2018,27.578000000000003,Pike County,Missouri
860241,0500000US29183,"St. Charles County, Missouri",county,density,2018,695.8610000000001,St. Charles County,Missouri
860244,0500000US30017,"Custer County, Montana",county,density,2018,3.1310000000000002,Custer County,Montana
860247,0500000US30041,"Hill County, Montana",county,density,2018,5.671,Hill County,Montana
860250,0500000US30075,"Powder River County, Montana",county,density,2018,0.491,Powder River County,Montana
860253,0500000US30067,"Park County, Montana",county,density,2018,5.796,Park County,Montana
860256,0500000US30085,"Roosevelt County, Montana",county,density,2018,4.768,Roosevelt County,Montana
860259,0500000US30005,"Blaine County, Montana",county,density,2018,1.591,Blaine County,Montana
860262,0500000US30051,"Liberty County, Montana",county,density,2018,1.594,Liberty County,Montana
860265,0500000US30083,"Richland County, Montana",county,density,2018,5.4510000000000005,Richland County,Montana
860268,0500000US30099,"Teton County, Montana",county,density,2018,2.676,Teton County,Montana
860271,0500000US30101,"Toole County, Montana",county,density,2018,2.5980000000000003,Toole County,Montana
860274,0500000US30025,"Fallon County, Montana",county,density,2018,1.751,Fallon County,Montana
860277,0500000US30019,"Daniels County, Montana",county,density,2018,1.229,Daniels County,Montana
860280,0500000US30045,"Judith Basin County, Montana",county,density,2018,1.043,Judith Basin County,Montana
860283,0500000US30093,"Silver Bow County, Montana",county,density,2018,48.455,Silver Bow County,Montana
860286,0500000US30023,"Deer Lodge County, Montana",county,density,2018,12.355,Deer Lodge County,Montana
860289,0500000US30043,"Jefferson County, Montana",county,density,2018,7.111000000000001,Jefferson County,Montana
860292,0500000US30055,"McCone County, Montana",county,density,2018,0.617,McCone County,Montana
860295,0500000US30107,"Wheatland County, Montana",county,density,2018,1.51,Wheatland County,Montana
860298,0500000US30087,"Rosebud County, Montana",county,density,2018,1.8459999999999999,Rosebud County,Montana
860301,0500000US30011,"Carter County, Montana",county,density,2018,0.395,Carter County,Montana
860304,0500000US30021,"Dawson County, Montana",county,density,2018,3.875,Dawson County,Montana
860307,0500000US30007,"Broadwater County, Montana",county,density,2018,4.8919999999999995,Broadwater County,Montana
860310,0500000US30047,"Lake County, Montana",county,density,2018,19.980999999999998,Lake County,Montana
860313,0500000US30073,"Pondera County, Montana",county,density,2018,3.7239999999999998,Pondera County,Montana
860316,0500000US30111,"Yellowstone County, Montana",county,density,2018,59.931000000000004,Yellowstone County,Montana
860319,0500000US30081,"Ravalli County, Montana",county,density,2018,17.526,Ravalli County,Montana
860322,0500000US30105,"Valley County, Montana",county,density,2018,1.5290000000000001,Valley County,Montana
860325,0500000US30027,"Fergus County, Montana",county,density,2018,2.5980000000000003,Fergus County,Montana
