id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome,region,fips,County
kaposia-park,Kaposia Park,South St. Paul,Dakota County,"Dakota County, MN",MN,USA,26,4.0,44.9089356,-93.0613762,55075,743.908,10720,574478,53589.3656716418,90562.0,midwest,27037,Dakota County
kenwood-trails-disc-golf-course,Kenwood Trails Disc Golf Course,Lakeville,Dakota County,"Dakota County, MN",MN,USA,18,3.0,44.6703775,-93.2710376,55044,743.908,27820,3023478,108680.01437814524,90562.0,midwest,27037,Dakota County
northview-park,Northview Park,Eagan,Dakota County,"Dakota County, MN",MN,USA,9,3.0,44.8118281,-93.1378342,55123,743.908,13940,1637235,117448.7087517934,90562.0,midwest,27037,Dakota County
red-oak-park,Red Oak Park,Burnsville,Dakota County,"Dakota County, MN",MN,USA,10,3.0,44.7860056,-93.2331533,55337,743.908,24280,1609515,66289.744645799,90562.0,midwest,27037,Dakota County
airborn-disc-golf-lynx,Airborn Disc Golf - Lynx,Clearwater,Wright County,"Wright County, MN",MN,USA,18,,45.4092713,-94.0359062,55320,200.686,2610,223475,85622.60536398468,85855.0,midwest,27171,Wright County
airborn-disc-golf-timberwolf,Airborn Disc Golf - Timberwolf,Clearwater,Wright County,"Wright County, MN",MN,USA,18,,45.4092713,-94.0359062,55320,200.686,2610,223475,85622.60536398468,85855.0,midwest,27171,Wright County
black-bear,Black Bear,Clearwater,Wright County,"Wright County, MN",MN,USA,18,,45.4194099,-94.0488721,55320,200.686,2610,223475,85622.60536398468,85855.0,midwest,27171,Wright County
eldorado-park,Eldorado Park,Clearwater,Wright County,"Wright County, MN",MN,USA,4,,45.4030085,-94.0494238,55320,200.686,2610,223475,85622.60536398468,85855.0,midwest,27171,Wright County
clearwaterpleasant-lake,Clearwater/Pleasant Lake,Annandale,Wright County,"Wright County, MN",MN,USA,18,4.0,45.281714,-94.11394,55302,200.686,3540,272202,76893.22033898305,85855.0,midwest,27171,Wright County
montissippi-regional-park,Montissippi Regional Park,Monticello,Wright County,"Wright County, MN",MN,USA,18,,45.3239706,-93.8311017,55362,200.686,9730,676079,69483.96711202466,85855.0,midwest,27171,Wright County
par-west,Par-West,Monticello,Wright County,"Wright County, MN",MN,USA,9,3.0,45.307432399999996,-93.7938365,55362,200.686,9730,676079,69483.96711202466,85855.0,midwest,27171,Wright County
rainbow-acres,Rainbow Acres,Howard Lake,Wright County,"Wright County, MN",MN,USA,18,,45.061266499999995,-94.0742843,55349,200.686,1920,118580,61760.41666666666,85855.0,midwest,27171,Wright County
west-pulaski,West Pulaski,Buffalo,Wright County,"Wright County, MN",MN,USA,9,3.0,45.201947,-93.8637574,55313,200.686,11800,896645,75986.86440677968,85855.0,midwest,27171,Wright County
white-tail-park,White Tail Park,Montrose,Wright County,"Wright County, MN",MN,USA,12,3.0,45.0822248,-93.9354495,55363,200.686,2350,141341,60145.10638297872,85855.0,midwest,27171,Wright County
sportsmans-hill,Sportsmans Hill,Clearwater,Stearns County,"Stearns County, MN",MN,USA,18,3.0,45.4247426,-94.0586389,55320,116.756,2610,223475,85622.60536398468,66317.0,midwest,27145,Stearns County
calvary-hill-park,Calvary Hill Park,St. Cloud,Stearns County,"Stearns County, MN",MN,USA,18,4.0,45.5397106,-94.1736543,56301,116.756,14920,974039,65284.11528150135,66317.0,midwest,27145,Stearns County
hidden-lake,Hidden Lake,St. Augusta,Stearns County,"Stearns County, MN",MN,USA,18,2.0,45.4587061,-94.20210759999999,56301,116.756,14920,974039,65284.11528150135,66317.0,midwest,27145,Stearns County
st-cloud-va-medical-center,St. Cloud VA Medical Center,St. Cloud,Stearns County,"Stearns County, MN",MN,USA,9,,45.535396999999996,-94.181596,56301,116.756,14920,974039,65284.11528150135,66317.0,midwest,27145,Stearns County
