id_x,name_x,city,county,Area_name,State,country,holeCount,rating,latitude,longitude,zipcode,PopDensity,total_pop,total_income,avg_income,MedianHHIncome
deer-run-disc-golf-course,Deer Run Disc Golf Course,Nashville,Brown County,"Brown County, IN",IN,USA,18,4.0,39.2017494,-86.2564784,47448,48.18899999999999,3910,248906,63658.823529999994,70930.0
buffalo-trace-park,Buffalo Trace Park,Palmyra,Harrison County,"Harrison County, IN",IN,USA,18,3.0,38.40624129999999,-86.0973804,47164,81.962,1620,88783,54804.32099,62082.0
fun-farm,The Fun Farm,Corydon,Harrison County,"Harrison County, IN",IN,USA,22,3.0,38.239132,-86.032562,47112,81.962,7940,461062,58068.26196,62082.0
camp-cullom-youth-camp-disc-golf-course,Camp Cullom Youth Camp Disc Golf Course ,Frankfort,Clinton County,"Clinton County, IN",IN,USA,24,5.0,40.3136749,-86.6334686,46057,79.742,500,29599,59198.0,59503.0
camp-lrca-dgc,Camp LRCA Disc Golf Course,Crown Point,Lake County,"Lake County, IN",IN,USA,9,,41.405377,-87.25169190000001,46307,975.725,33140,2602721,78537.14544,59158.0
hidden-creek-disc-golf-course,Hidden Creek Disc Golf Course,Crown Point,Lake County,"Lake County, IN",IN,USA,9,,41.471693,-87.393194,46307,975.725,33140,2602721,78537.14544,59158.0
lemon-lake-county-park-blue,Lemon Lake County Park - Blue,Crown Point,Lake County,"Lake County, IN",IN,USA,18,4.0,41.382623200000005,-87.40435579999999,46307,975.725,33140,2602721,78537.14544,59158.0
lemon-lake-county-park-gold,Lemon Lake County Park - Gold,Crown Point,Lake County,"Lake County, IN",IN,USA,18,5.0,41.382623200000005,-87.40435579999999,46307,975.725,33140,2602721,78537.14544,59158.0
lemon-lake-county-park-red,Lemon Lake County Park - Red,Crown Point,Lake County,"Lake County, IN",IN,USA,18,5.0,41.382623200000005,-87.40435579999999,46307,975.725,33140,2602721,78537.14544,59158.0
lemon-lake-county-park-silver,Lemon Lake County Park - Silver,Crown Point,Lake County,"Lake County, IN",IN,USA,18,5.0,41.382623200000005,-87.40435579999999,46307,975.725,33140,2602721,78537.14544,59158.0
lemon-lake-county-park-white,Lemon Lake County Park - White,Crown Point,Lake County,"Lake County, IN",IN,USA,18,5.0,41.382623200000005,-87.40435579999999,46307,975.725,33140,2602721,78537.14544,59158.0
forsythe-park,Forsythe Park,Whiting,Lake County,"Lake County, IN",IN,USA,18,,41.683451,-87.5142352,46394,975.725,5450,270261,49589.17431,59158.0
freedom-park-3,Freedom Park,Lowell,Lake County,"Lake County, IN",IN,USA,18,,41.308225,-87.426702,46356,975.725,9110,612299,67211.74532999999,59158.0
hidden-lake-disc-golf-course,Hidden Lake Disc Golf Course,Merrillville,Lake County,"Lake County, IN",IN,USA,18,,41.502229799999995,-87.3335103,46410,975.725,18680,903410,48362.4197,59158.0
lake-hills-disc-golf-course,Lake Hills Baptist Church Disc Golf Course,Schererville,Lake County,"Lake County, IN",IN,USA,12,,41.4639251,-87.44652359999999,46375,975.725,12700,1061427,83576.92912999999,59158.0
riverside-dgc,Matt Lovasko Disc Golf Course at Riverside Park,Hammond,Lake County,"Lake County, IN",IN,USA,18,4.0,41.570613,-87.500893,46324,975.725,9930,413145,41605.74018,59158.0
missile-ridge-disc-golf-course,Missile Ridge Disc Golf Course,Cedar Lake,Lake County,"Lake County, IN",IN,USA,18,,41.382623200000005,-87.40435579999999,46303,975.725,7960,524294,65866.0804,59158.0
pulaski-park,Pulaski Park,Hammond,Lake County,"Lake County, IN",IN,USA,18,2.0,41.644954299999995,-87.5195573,46323,975.725,10150,417367,41119.90148,59158.0
purdue-university-calumet,Purdue University Calumet,Hammond,Lake County,"Lake County, IN",IN,USA,9,,41.579766299999996,-87.4740171,46323,975.725,10150,417367,41119.90148,59158.0
camp-slingshot,Camp Slingshot,Winchester,Randolph County,"Randolph County, IN",IN,USA,9,,40.1321371,-84.9700216,47394,55.431000000000004,3630,170481,46964.462810000005,67178.0
winchester-disc-golf-course,Goodrich Park Disc Golf Course,Winchester,Randolph County,"Randolph County, IN",IN,USA,27,,40.180586299999995,-84.9760897,47394,55.431000000000004,3630,170481,46964.462810000005,67178.0
harter-park-disc-golf-course-1,Harter Park Disc Golf Course,Union City,Randolph County,"Randolph County, IN",IN,USA,24,,40.1947665,-84.8253296,47390,55.431000000000004,2230,92061,41282.95964,67178.0
cannon-acres,Cannon Acres,New Albany,Floyd County,"Floyd County, IN",IN,USA,4,,38.2657979,-85.84590899999999,47150,519.2090000000001,23630,1251874,52978.16335,70610.0
new-albany-disc-golf-course,New Albany Disc Golf Course,New Albany,Floyd County,"Floyd County, IN",IN,USA,18,,38.3017691,-85.8222935,47150,519.2090000000001,23630,1251874,52978.16335,70610.0
seviren-lang-disc-golf-course,Seviren Lang Disc Golf Course,Georgetown,Floyd County,"Floyd County, IN",IN,USA,18,5.0,38.2770095,-85.9259828,47122,519.2090000000001,5330,394902,74090.43152,70610.0
cedar-grove-disc-golf-course,Cedar Grove Disc Golf Course,Sunman,Dearborn County,"Dearborn County, IN",IN,USA,18,,39.151423,-85.0390647,47041,162.28,2950,164774,55855.59322,73459.0
cedar-sentinels-county-farm-park,County Farm Disc Golf Course,Aurora,Dearborn County,"Dearborn County, IN",IN,USA,18,,39.151423,-85.0390647,47001,162.28,5050,270251,53515.0495,73459.0
ceraland-disc-golf-course,Ceraland Disc Golf Course,Columbus,Bartholomew County,"Bartholomew County, IN",IN,USA,18,4.0,39.1639739,-85.81104300000001,47203,201.257,13020,969951,74497.00461,70545.0
clear-creek-park,Clear Creek Park,Richmond,Wayne County,"Wayne County, IN",IN,USA,18,,39.8276077,-84.91927679999999,47374,165.81099999999998,19730,942636,47776.78662,49798.0
living-waters-disc-golf-course-new-creations,Living Waters Disc Golf Course at New Creations,Richmond,Wayne County,"Wayne County, IN",IN,USA,18,,39.8289369,-84.8902382,47374,165.81099999999998,19730,942636,47776.78662,49798.0
glen,The Glen Disc Golf Course,Richmond,Wayne County,"Wayne County, IN",IN,USA,18,4.0,39.8356876,-84.86330840000001,47374,165.81099999999998,19730,942636,47776.78662,49798.0
commons-park-disc-golf-course,Commons Park Disc Golf Course,Angola,Steuben County,"Steuben County, IN",IN,USA,18,4.0,41.634519299999994,-84.9872823,46703,111.588,8570,517869,60428.12135,62273.0
fremont-middle-school,Fremont Middle School,Fremont,Steuben County,"Steuben County, IN",IN,USA,9,,41.728878200000004,-84.94463640000001,46737,111.588,3530,234908,66546.17564,62273.0
